2012-03-13;30;Davide;Serio;Commesse;100.118
2012-03-21;45;Davide;Serio;Commesse;100.118
2012-03-21;15;Davide;Serio;Commesse;100.118
2012-03-27;30;Davide;Serio;Commesse;100.118
2012-12-04;60;Davide;Serio;Commesse;5162
2012-04-04;60;Alberto;Franchi;Varie;5251
2012-04-20;60;Davide;Bianchi;Varie;5269
2012-04-23;90;Alberto;Franchi;Varie;5269
2012-04-23;120;Davide;Bianchi;Varie;5269
2012-03-26;60;Alberto;Bianchi;Riunione interna;5275
2012-03-28;60;Alberto;Bianchi;Riunione con cliente;5275
2012-07-03;60;Alberto;Bianchi;Commerciale;5275
2012-08-27;60;Alberto;Bianchi;Service;5275
2012-04-19;60;Alberto;Bianchi;Service;5290
2012-06-06;30;Alberto;Bianchi;Varie;5292
2012-03-02;60;Davide;Bianchi;Progettazione;5294
2012-04-23;90;Davide;Bianchi;Progettazione;5294
2012-04-24;60;Davide;Bianchi;Progettazione;5294
2012-04-19;60;Davide;Bianchi;Progettazione;5300
2012-05-22;60;Alberto;Bianchi;Service;5300
2012-05-23;60;Alberto;Bianchi;Service;5300
2012-05-28;60;Alberto;Bianchi;Service;5300
2012-05-31;60;Alberto;Bianchi;Service;5300
2012-06-05;120;Alberto;Bianchi;Service;5300
2012-06-06;120;Alberto;Bianchi;Service;5300
2012-06-25;480;Davide;Corti;Progettazione;5300
2012-03-26;30;Alberto;Bianchi;Riunione interna;5312
2012-03-16;300;Davide;Bianchi;Progettazione;5312
2012-06-05;60;Alberto;Bianchi;Service;5312
2012-09-14;150;Davide;Bianchi;As built;5312
2012-09-03;120;Davide;Bianchi;As built;5312
2012-05-31;60;Alberto;Bianchi;Service;5313_s
2012-12-20;120;Alberto;Franchi;Varie;5319
2012-07-10;60;Alberto;Franchi;Cantiere;5336
2012-07-09;60;Alberto;Franchi;Cantiere;5336
2012-07-13;60;Alberto;Franchi;Cantiere;5336
2012-07-16;60;Alberto;Franchi;Varie;5336
2012-07-24;600;Alberto;Franchi;Cantiere;5336
2012-07-18;300;Alberto;Franchi;Progettazione;5336
2012-07-23;180;Alberto;Franchi;Cantiere;5336
2012-07-30;150;Alberto;Franchi;Progettazione;5336
2012-07-31;120;Alberto;Franchi;Progettazione;5336
2012-08-01;240;Alberto;Franchi;Progettazione;5336
2012-08-07;240;Alberto;Franchi;Varie;5336
2012-08-09;120;Alberto;Franchi;Progettazione;5336
2012-09-12;240;Alberto;Franchi;Varie;5336
2012-09-13;240;Alberto;Franchi;Varie;5336
2012-09-17;60;Alberto;Franchi;Varie;5336
2012-09-20;240;Alberto;Franchi;Progettazione;5336
2012-09-25;360;Alberto;Franchi;Progettazione;5336
2012-09-24;120;Alberto;Franchi;Varie;5336
2012-09-28;240;Alberto;Franchi;Progettazione;5336
